source_table_id,asset,name,kind,s57_object_class,s57_conditions,s52_instruction,opencpn_definition_count,opencpn_lookup_count,opencpn_color_refs,opencpn_reference_day,s101_symbol_ids,s101_paths,aquamap_labels,aquamap_paths,semantic_brief,required_shape,required_colours,colour_pattern,helm_candidate_svg,helm_candidate_day,candidate_status,pre_routing_candidate_status,batch98_routing_bucket,latest_judge_pass,latest_required_change
opencpn-s52:BLKADJ01,BLKADJ01,symbol to be used for checking and adjusting the brightness and contrast controls,symbol,$CSYMB,$SCODEBLKADJ01,SY(BLKADJ01),1,2,ABKAJ1BBKAJ2,out/opencpn_s52_reference/BLKADJ01__day.png,BLKADJ01;BLKADJ01,assets/svg/source_priority/s101_exact/BLKADJ01.svg;PortrayalCatalog/Symbols/BLKADJ01.svg,,,BLKADJ01 is symbol to be used for checking and adjusting the brightness and contrast controls. It is used as a symbol to be used for checking and adjusting the brightness and contrast controls. Required geometry: symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference. Required colours: reference-defined.,symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference,,,assets/svg/triad_generated/BLKADJ01.svg,,judge_pass_pending_final_approval,,,True,No repair required for visual rerun; keep pending final approval QA and do not mark final-approved.
opencpn-s52:BORDER01,BORDER01,border,symbol,chkpnt,catchp2,SY(BORDER01),1,2,BCHGRDCCHREDDDEPDWADEPMD,out/opencpn_s52_reference/BORDER01__day.png,,,,,BORDER01 is border. It is used as a border. Required geometry: symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference. Required colours: red.,symbol silhouette must match the strongest S-101/OpenCPN/Aqua Map reference,red,,assets/svg/triad_generated/BORDER01.svg,,judge_pass_pending_final_approval,,,True,No repair required for visual rerun; keep pending final approval QA and do not mark final-approved.
opencpn-s52:BOYBAR01,BOYBAR01,"barrel buoy, black full-chart",symbol,BOYCAR,BOYSHP6,"SY(BOYBAR01);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",2,6,ADEPMDBCHBLKCCHRED;CCHBLK,out/opencpn_s52_reference/BOYBAR01__day.png,BOYBAR01;BOYBAR01,assets/svg/source_priority/s101_exact/BOYBAR01.svg;PortrayalCatalog/Symbols/BOYBAR01.svg,,,"BOYBAR01 is barrel buoy, black full-chart. It is used as a cardinal buoy used to indicate the safe side of danger. Required geometry: barrel buoy body. Required colours: red, black.",barrel buoy body,red;black,,assets/svg/triad_generated/BOYBAR01.svg,,judge_pass_pending_final_approval,,,True,No repair required for this visual/semantic rerun; candidate may move only to judge_pass_pending_final_approval and must not be final-approved by this artifact.
opencpn-s52:BOYBAR60,BOYBAR60,"barrel buoy, red, full-chart",symbol,BOYSPP,BOYSHP6;COLOUR3,"SY(BOYBAR60);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",1,1,ADEPMDBCHBLKCCHRED,out/opencpn_s52_reference/BOYBAR60__day.png,,,,,"BOYBAR60 is barrel buoy, red, full-chart. It is used as a special-purpose buoy used for named local purposes. Required geometry: barrel buoy body. Required colours: red.",barrel buoy body,red,,assets/svg/triad_generated/BOYBAR60.svg,,judge_pass_pending_final_approval,,,True,No repair required for this visual/semantic rerun; candidate may move only to judge_pass_pending_final_approval and must not be final-approved by this artifact.
opencpn-s52:BOYBAR61,BOYBAR61,"barrel buoy, green, full-chart",symbol,BOYSPP,BOYSHP6;COLOUR4,"SY(BOYBAR61);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",1,1,ADEPMDBCHBLKCCHGRN,out/opencpn_s52_reference/BOYBAR61__day.png,,,,,"BOYBAR61 is barrel buoy, green, full-chart. It is used as a special-purpose buoy used for named local purposes. Required geometry: barrel buoy body. Required colours: green.",barrel buoy body,green,,assets/svg/triad_generated/BOYBAR61.svg,,judge_pass_pending_final_approval,,,True,No repair required for this visual/semantic rerun; candidate may move only to judge_pass_pending_final_approval and must not be final-approved by this artifact.
opencpn-s52:BOYBAR62,BOYBAR62,"barrel buoy, yellow, full-chart",symbol,BOYINB,BOYSHP6;COLOUR6,"SY(BOYBAR62);TE('%s','OBJNAM',2,1,2,'15110',-2,-1,CHBLK,21)",1,4,ADEPMDBCHBLKCCHYLW,out/opencpn_s52_reference/BOYBAR62__day.png,,,,,"BOYBAR62 is barrel buoy, yellow, full-chart. It is used as a installation buoy. Required geometry: barrel buoy body. Required colours: yellow.",barrel buoy body,yellow,,assets/svg/triad_generated/BOYBAR62.svg,,judge_pass_pending_final_approval,,,True,No repair required for this visual/semantic rerun; candidate may move only to judge_pass_pending_final_approval and must not be final-approved by this artifact.
opencpn-s52:BOYCAN01,BOYCAN01,"can buoy, paper-chart",symbol,BOYCAR,BOYSHP2,"SY(BOYCAN01);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",1,4,CCHBLK,out/opencpn_s52_reference/BOYCAN01__day.png,BOYCAN01;BOYCAN01,assets/svg/source_priority/s101_exact/BOYCAN01.svg;PortrayalCatalog/Symbols/BOYCAN01.svg,,,"BOYCAN01 is can buoy, paper-chart. It is used as a cardinal buoy used to indicate the safe side of danger. Required geometry: can/cylindrical buoy body. Required colours: black.",can/cylindrical buoy body,black,,assets/svg/triad_generated/BOYCAN01.svg,,judge_pass_pending_final_approval,,,True,No repair required for this visual/semantic rerun; candidate may move only to judge_pass_pending_final_approval and must not be final-approved by this artifact.
opencpn-s52:BOYCAN60,BOYCAN60,"can buoy,lateral-r,full-chart",symbol,BOYSPP,CATSPM8;BOYSHP2;COLOUR3,"SY(BOYCAN60);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",1,5,ADEPMDBCHBLKCCHRED,out/opencpn_s52_reference/BOYCAN60__day.png,,,,,"BOYCAN60 is can buoy,lateral-r,full-chart. It is used as a special-purpose buoy used for named local purposes. Required geometry: can/cylindrical buoy body. Required colours: red.",can/cylindrical buoy body,red,,assets/svg/triad_generated/BOYCAN60.svg,,judge_pass_pending_final_approval,,,True,No repair required for this visual/semantic rerun; candidate may move only to judge_pass_pending_final_approval and must not be final-approved by this artifact.
opencpn-s52:BOYCAN61,BOYCAN61,"can buoy,lateral-g,full-chart",symbol,BOYLAT,BOYSHP2;COLOUR4,"SY(BOYCAN61);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",1,4,ADEPMDBCHBLKCCHGRN,out/opencpn_s52_reference/BOYCAN61__day.png,,,,,"BOYCAN61 is can buoy,lateral-g,full-chart. It is used as a lateral buoy used for port/starboard channel marking. Required geometry: can/cylindrical buoy body. Required colours: green.",can/cylindrical buoy body,green,,assets/svg/triad_generated/BOYCAN61.svg,,judge_pass_pending_final_approval,,,True,No repair required for this visual/semantic rerun; candidate may move only to judge_pass_pending_final_approval and must not be final-approved by this artifact.
opencpn-s52:BOYCAN62,BOYCAN62,"can buoy,generic,full-chart",symbol,BOYSPP,BOYSHP2,"SY(BOYCAN62);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",1,3,ADEPMDBCHBLKCCHGRN,out/opencpn_s52_reference/BOYCAN62__day.png,,,,,"BOYCAN62 is can buoy,generic,full-chart. It is used as a special-purpose buoy used for named local purposes. Required geometry: can/cylindrical buoy body. Required colours: green, black.",can/cylindrical buoy body,green;black,,assets/svg/triad_generated/BOYCAN62.svg,,judge_pass_pending_final_approval,,,True,No repair required for this visual/semantic rerun; candidate may move only to judge_pass_pending_final_approval and must not be final-approved by this artifact.
opencpn-s52:BOYCAN63,BOYCAN63,"can buoy,yellow,full-chart",symbol,BOYLAT,BOYSHP2;COLOUR6,"SY(BOYCAN63);TX(OBJNAM,2,1,2,'15110',-1,-1,CHBLK,21)",1,4,ADEPMDBCHBLKCCHYLW,out/opencpn_s52_reference/BOYCAN63__day.png,,,,,"BOYCAN63 is can buoy,yellow,full-chart. It is used as a lateral buoy used for port/starboard channel marking. Required geometry: can/cylindrical buoy body. Required colours: yellow.",can/cylindrical buoy body,yellow,,assets/svg/triad_generated/BOYCAN63.svg,,judge_pass_pending_final_approval,,,True,No repair required for this visual/semantic rerun; candidate may move only to judge_pass_pending_final_approval and must not be final-approved by this artifact.
opencpn-s52:BOYCAN64,BOYCAN64,"can buoy,black,full-chart",symbol,BOYSPP,BOYSHP2;COLOUR2,"SY(BOYCAN64);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",1,1,ADEPMDBCHBLKCCHBLK,out/opencpn_s52_reference/BOYCAN64__day.png,,,,,"BOYCAN64 is can buoy,black,full-chart. It is used as a special-purpose buoy used for named local purposes. Required geometry: can/cylindrical buoy body. Required colours: black.",can/cylindrical buoy body,black,,assets/svg/triad_generated/BOYCAN64.svg,,judge_pass_pending_final_approval,,,True,No repair required for this visual/semantic rerun; candidate may move only to judge_pass_pending_final_approval and must not be final-approved by this artifact.
opencpn-s52:BOYCAN65,BOYCAN65,"can buoy,yellow,full-chart",symbol,BOYSPP,BOYSHP2;COLOUR1,"SY(BOYCAN65);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",1,1,ADEPMDBCHBLKCCHWHT,out/opencpn_s52_reference/BOYCAN65__day.png,,,,,"BOYCAN65 is can buoy,yellow,full-chart. It is used as a special-purpose buoy used for named local purposes. Required geometry: can/cylindrical buoy body. Required colours: white.",can/cylindrical buoy body,white,,assets/svg/triad_generated/BOYCAN65.svg,,judge_pass_pending_final_approval,,,True,No repair required for this visual/semantic rerun; candidate may move only to judge_pass_pending_final_approval and must not be final-approved by this artifact.
opencpn-s52:BOYCAN68,BOYCAN68,"can buoy,cardinal north by,full-chart",symbol,BOYCAR,"BOYSHP2;COLOUR2,6","SY(BOYCAN68);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",1,1,ADEPMDBCHBLKCCHYLW,out/opencpn_s52_reference/BOYCAN68__day.png,,,,,"BOYCAN68 is can buoy,cardinal north by,full-chart. It is used as a cardinal buoy used to indicate the safe side of danger. Required geometry: can/cylindrical buoy body. Required colours: black, yellow.",can/cylindrical buoy body,black;yellow,,assets/svg/triad_generated/BOYCAN68.svg,,judge_pass_pending_final_approval,,,True,No repair required for this visual/semantic rerun; candidate may move only to judge_pass_pending_final_approval and must not be final-approved by this artifact.
opencpn-s52:BOYCAN69,BOYCAN69,"can buoy,cardinal south yb,full-chart",symbol,BOYCAR,"BOYSHP2;COLOUR6,2","SY(BOYCAN69);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",1,1,ADEPMDBCHBLKCCHYLW,out/opencpn_s52_reference/BOYCAN69__day.png,,,,,"BOYCAN69 is can buoy,cardinal south yb,full-chart. It is used as a cardinal buoy used to indicate the safe side of danger. Required geometry: can/cylindrical buoy body. Required colours: yellow, black.",can/cylindrical buoy body,yellow;black,,assets/svg/triad_generated/BOYCAN69.svg,,judge_pass_pending_final_approval,,,True,No repair required for this visual/semantic rerun; candidate may move only to judge_pass_pending_final_approval and must not be final-approved by this artifact.
opencpn-s52:BOYCAN70,BOYCAN70,"can buoy,cardinal east byb,full-chart",symbol,BOYCAR,"BOYSHP2;COLOUR2,6,2","SY(BOYCAN70);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",1,1,ADEPMDBCHBLKCCHYLW,out/opencpn_s52_reference/BOYCAN70__day.png,,,,,"BOYCAN70 is can buoy,cardinal east byb,full-chart. It is used as a cardinal buoy used to indicate the safe side of danger. Required geometry: can/cylindrical buoy body. Required colours: black, yellow, black.",can/cylindrical buoy body,black;yellow;black,,assets/svg/triad_generated/BOYCAN70.svg,,judge_pass_pending_final_approval,,,True,No repair required for this visual/semantic rerun; candidate may move only to judge_pass_pending_final_approval and must not be final-approved by this artifact.
opencpn-s52:BOYCAN71,BOYCAN71,"can buoy,cardinal west yby,full-chart",symbol,BOYCAR,"BOYSHP2;COLOUR6,2,6","SY(BOYCAN71);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",1,1,ADEPMDBCHBLKCCHYLW,out/opencpn_s52_reference/BOYCAN71__day.png,,,,,"BOYCAN71 is can buoy,cardinal west yby,full-chart. It is used as a cardinal buoy used to indicate the safe side of danger. Required geometry: can/cylindrical buoy body. Required colours: yellow, black, yellow.",can/cylindrical buoy body,yellow;black;yellow,,assets/svg/triad_generated/BOYCAN71.svg,,judge_pass_pending_final_approval,,,True,No repair required for this visual/semantic rerun; candidate may move only to judge_pass_pending_final_approval and must not be final-approved by this artifact.
opencpn-s52:BOYCAN72,BOYCAN72,"can buoy,lateral rgr,full-chart",symbol,boylat,"BOYSHP2;COLOUR3,4,3;COLPAT1","SY(BOYCAN72);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",1,7,ADEPMDBCHBLKCCHREDDCHGRN,out/opencpn_s52_reference/BOYCAN72__day.png,,,,,"BOYCAN72 is can buoy,lateral rgr,full-chart. It is used as a lateral buoy used for port/starboard channel marking. Required geometry: can/cylindrical buoy body. Required colours: red, green, red with horizontal bands/stripes in the listed colour order.",can/cylindrical buoy body,red;green;red,horizontal bands/stripes in the listed colour order,assets/svg/triad_generated/BOYCAN72.svg,,judge_pass_pending_final_approval,,,True,No repair required for this visual/semantic rerun; candidate may move only to judge_pass_pending_final_approval and must not be final-approved by this artifact.
opencpn-s52:BOYCAN73,BOYCAN73,"can buoy,lateral grg,full-chart",symbol,BOYLAT,"BOYSHP2;COLOUR4,3,4;COLPAT1","SY(BOYCAN73);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",1,1,ADEPMDBCHBLKCCHGRNDCHRED,out/opencpn_s52_reference/BOYCAN73__day.png,,,,,"BOYCAN73 is can buoy,lateral grg,full-chart. It is used as a lateral buoy used for port/starboard channel marking. Required geometry: can/cylindrical buoy body. Required colours: green, red, green with horizontal bands/stripes in the listed colour order.",can/cylindrical buoy body,green;red;green,horizontal bands/stripes in the listed colour order,assets/svg/triad_generated/BOYCAN73.svg,,judge_pass_pending_final_approval,,,True,No repair required for this visual/semantic rerun; candidate may move only to judge_pass_pending_final_approval and must not be final-approved by this artifact.
opencpn-s52:BOYCAN74,BOYCAN74,"can buoy,lateral-rw,full-chart",symbol,BOYLAT,"BOYSHP2;COLOUR3,1,3,1,3","SY(BOYCAN74);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",1,3,ADEPMDBCHBLKCCHREDDCHWHT,out/opencpn_s52_reference/BOYCAN74__day.png,,,,,"BOYCAN74 is can buoy,lateral-rw,full-chart. It is used as a lateral buoy used for port/starboard channel marking. Required geometry: can/cylindrical buoy body. Required colours: red, white, red, white, red.",can/cylindrical buoy body,red;white;red;white;red,,assets/svg/triad_generated/BOYCAN74.svg,,judge_pass_pending_final_approval,,,True,No repair required for this visual/semantic rerun; candidate may move only to judge_pass_pending_final_approval and must not be final-approved by this artifact.
opencpn-s52:BOYCAN75,BOYCAN75,"can buoy,lateral rg,full-chart",symbol,BOYSPP,"BOYSHP2;COLOUR3,4;COLPAT1","SY(BOYCAN75);TE('%s','OBJNAM',2,1,2,'15110',-2,-1,CHBLK,21)",1,3,ADEPMDBCHBLKCCHREDDCHGRN,out/opencpn_s52_reference/BOYCAN75__day.png,,,,,"BOYCAN75 is can buoy,lateral rg,full-chart. It is used as a special-purpose buoy used for named local purposes. Required geometry: can/cylindrical buoy body. Required colours: red, green with horizontal bands/stripes in the listed colour order.",can/cylindrical buoy body,red;green,horizontal bands/stripes in the listed colour order,assets/svg/triad_generated/BOYCAN75.svg,,judge_pass_pending_final_approval,,,True,No repair required for this visual/semantic rerun; candidate may move only to judge_pass_pending_final_approval and must not be final-approved by this artifact.
opencpn-s52:BOYCAN76,BOYCAN76,"can buoy,isolated danger brb,full-chart",symbol,BOYISD,"BOYSHP2;COLOUR2,3,2","SY(BOYCAN76);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",1,1,ADEPMDBCHBLKCCHRED,out/opencpn_s52_reference/BOYCAN76__day.png,,,,,"BOYCAN76 is can buoy,isolated danger brb,full-chart. It is used as a isolated-danger buoy used to mark a hazard with navigable water around it. Required geometry: can/cylindrical buoy body. Required colours: black, red, black.",can/cylindrical buoy body,black;red;black,,assets/svg/triad_generated/BOYCAN76.svg,,judge_pass_pending_final_approval,,,True,No repair required for this visual/semantic rerun; candidate may move only to judge_pass_pending_final_approval and must not be final-approved by this artifact.
opencpn-s52:BOYCAN77,BOYCAN77,"can buoy,lateral white/orange,full-chart",symbol,BOYSPP,"BOYSHP2;COLOUR1,11;COLPAT1","SY(BOYCAN77);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",1,3,ADEPMDBCHBLKCCHWHTDCHCOR,out/opencpn_s52_reference/BOYCAN77__day.png,,,,,"BOYCAN77 is can buoy,lateral white/orange,full-chart. It is used as a special-purpose buoy used for named local purposes. Required geometry: can/cylindrical buoy body. Required colours: white, orange with horizontal bands/stripes in the listed colour order.",can/cylindrical buoy body,white;orange,horizontal bands/stripes in the listed colour order,assets/svg/triad_generated/BOYCAN77.svg,,judge_pass_pending_final_approval,,,True,No repair required for this visual/semantic rerun; candidate may move only to judge_pass_pending_final_approval and must not be final-approved by this artifact.
opencpn-s52:BOYCAN78,BOYCAN78,"can buoy,lateral wow,full-chart",symbol,BOYSPP,"BOYSHP2;COLOUR1,11,1;COLPAT1","SY(BOYCAN78);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",1,1,ADEPMDBCHBLKCCHWHTDCHCOR,out/opencpn_s52_reference/BOYCAN78__day.png,,,,,"BOYCAN78 is can buoy,lateral wow,full-chart. It is used as a special-purpose buoy used for named local purposes. Required geometry: can/cylindrical buoy body. Required colours: white, orange, white with horizontal bands/stripes in the listed colour order.",can/cylindrical buoy body,white;orange;white,horizontal bands/stripes in the listed colour order,assets/svg/triad_generated/BOYCAN78.svg,,judge_pass_pending_final_approval,,,True,No repair required for this visual/semantic rerun; candidate may move only to judge_pass_pending_final_approval and must not be final-approved by this artifact.
opencpn-s52:BOYCAN79,BOYCAN79,"can buoy,orange,full-chart",symbol,BOYSPP,BOYSHP2;COLOUR11,"SY(BOYCAN79);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",1,1,ADEPMDBCHBLKCCHCOR,out/opencpn_s52_reference/BOYCAN79__day.png,,,,,"BOYCAN79 is can buoy,orange,full-chart. It is used as a special-purpose buoy used for named local purposes. Required geometry: can/cylindrical buoy body. Required colours: orange.",can/cylindrical buoy body,orange,,assets/svg/triad_generated/BOYCAN79.svg,,judge_pass_pending_final_approval,,,True,No repair required for this visual/semantic rerun; candidate may move only to judge_pass_pending_final_approval and must not be final-approved by this artifact.
opencpn-s52:BOYCAN80,BOYCAN80,"can buoy,red-white,full-chart",symbol,BOYSPP,"BOYSHP2;COLOUR3,1;COLPAT1","SY(BOYCAN80);TE('%s','OBJNAM',2,1,2,'15110',-2,-1,CHBLK,21)",1,1,ADEPMDBCHBLKCCHREDDCHWHT,out/opencpn_s52_reference/BOYCAN80__day.png,,,,,"BOYCAN80 is can buoy,red-white,full-chart. It is used as a special-purpose buoy used for named local purposes. Required geometry: can/cylindrical buoy body. Required colours: red, white with horizontal bands/stripes in the listed colour order.",can/cylindrical buoy body,red;white,horizontal bands/stripes in the listed colour order,assets/svg/triad_generated/BOYCAN80.svg,,judge_pass_pending_final_approval,,,True,No repair required for this visual/semantic rerun; candidate may move only to judge_pass_pending_final_approval and must not be final-approved by this artifact.
opencpn-s52:BOYCAN81,BOYCAN81,"can buoy,lateral white/orange,full-chart",symbol,BOYSPP,"BOYSHP2;COLOUR11,1;COLPAT1","SY(BOYCAN81);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",1,1,ADEPMDBCHBLKCCHWHTDCHCOR,out/opencpn_s52_reference/BOYCAN81__day.png,,,,,"BOYCAN81 is can buoy,lateral white/orange,full-chart. It is used as a special-purpose buoy used for named local purposes. Required geometry: can/cylindrical buoy body. Required colours: orange, white with horizontal bands/stripes in the listed colour order.",can/cylindrical buoy body,orange;white,horizontal bands/stripes in the listed colour order,assets/svg/triad_generated/BOYCAN81.svg,,judge_pass_pending_final_approval,,,True,No repair required for this visual/semantic rerun; candidate may move only to judge_pass_pending_final_approval and must not be final-approved by this artifact.
opencpn-s52:BOYCAN82,BOYCAN82,"can buoy,lateral-rw,full-chart",symbol,BOYLAT,"BOYSHP2;CATLAM7;COLOUR3,1,3,1,3","SY(BOYCAN82);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",1,2,ADEPMDBCHBLKCCHREDDCHWHT,out/opencpn_s52_reference/BOYCAN82__day.png,,,,,"BOYCAN82 is can buoy,lateral-rw,full-chart. It is used as a lateral buoy used for port/starboard channel marking. Required geometry: can/cylindrical buoy body. Required colours: red, white, red, white, red.",can/cylindrical buoy body,red;white;red;white;red,,assets/svg/triad_generated/BOYCAN82.svg,,judge_pass_pending_final_approval,,,True,No repair required for this visual/semantic rerun; candidate may move only to judge_pass_pending_final_approval and must not be final-approved by this artifact.
opencpn-s52:BOYCAN83,BOYCAN83,"can buoy,lateral-rw,full-chart",symbol,BOYLAT,"BOYSHP2;CATLAM7;COLOUR3,1,3,1","SY(BOYCAN83);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",1,2,ADEPMDBCHBLKCCHREDDCHWHT,out/opencpn_s52_reference/BOYCAN83__day.png,,,,,"BOYCAN83 is can buoy,lateral-rw,full-chart. It is used as a lateral buoy used for port/starboard channel marking. Required geometry: can/cylindrical buoy body. Required colours: red, white, red, white.",can/cylindrical buoy body,red;white;red;white,,assets/svg/triad_generated/BOYCAN83.svg,,judge_pass_pending_final_approval,,,True,No repair required for this visual/semantic rerun; candidate may move only to judge_pass_pending_final_approval and must not be final-approved by this artifact.
opencpn-s52:BOYCAR01,BOYCAR01,"cardinal buoy, north, simplified",symbol,BOYCAR,CATCAM1,"SY(BOYCAR01);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",1,1,HCHYLWmOUTLW,out/opencpn_s52_reference/BOYCAR01__day.png,BOYCAR01;BOYCAR01,assets/svg/source_priority/s101_exact/BOYCAR01.svg;PortrayalCatalog/Symbols/BOYCAR01.svg,North cardinal mark;South cardinal mark;West cardinal mark;East cardinal mark,reference_sources/aquamap_map_symbols/images/BOYCARBY1.png;reference_sources/aquamap_map_symbols/images/BOYCARYB1.png;reference_sources/aquamap_map_symbols/images/BOYCARYBY1.png;reference_sources/aquamap_map_symbols/images/BOYCARBYB1.png,"BOYCAR01 is cardinal buoy, north, simplified. It is used as a cardinal buoy used to indicate the safe side of danger. Required geometry: cardinal aid body/topmark geometry; verify quadrant/topmark orientation. Required colours: reference-defined.",cardinal aid body/topmark geometry; verify quadrant/topmark orientation,,,assets/svg/triad_generated/BOYCAR01.svg,,judge_pass_pending_final_approval,,,True,No semantic repair required before final style/scale QA; keep pending final approval.
opencpn-s52:BOYCAR02,BOYCAR02,"cardinal buoy, east, simplified",symbol,BOYCAR,CATCAM2,"SY(BOYCAR02);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",1,1,mOUTLWHCHYLW,out/opencpn_s52_reference/BOYCAR02__day.png,BOYCAR02;BOYCAR02,assets/svg/source_priority/s101_exact/BOYCAR02.svg;PortrayalCatalog/Symbols/BOYCAR02.svg,North cardinal mark;South cardinal mark;West cardinal mark;East cardinal mark,reference_sources/aquamap_map_symbols/images/BOYCARBY1.png;reference_sources/aquamap_map_symbols/images/BOYCARYB1.png;reference_sources/aquamap_map_symbols/images/BOYCARYBY1.png;reference_sources/aquamap_map_symbols/images/BOYCARBYB1.png,"BOYCAR02 is cardinal buoy, east, simplified. It is used as a cardinal buoy used to indicate the safe side of danger. Required geometry: cardinal aid body/topmark geometry; verify quadrant/topmark orientation. Required colours: reference-defined.",cardinal aid body/topmark geometry; verify quadrant/topmark orientation,,,assets/svg/triad_generated/BOYCAR02.svg,,judge_pass_pending_final_approval,,,True,No semantic repair required before final style/scale QA; keep pending final approval.
opencpn-s52:BOYCAR03,BOYCAR03,"cardinal buoy, south, simplified",symbol,BOYCAR,CATCAM3,"SY(BOYCAR03);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",1,1,mOUTLWHCHYLW,out/opencpn_s52_reference/BOYCAR03__day.png,BOYCAR03;BOYCAR03,assets/svg/source_priority/s101_exact/BOYCAR03.svg;PortrayalCatalog/Symbols/BOYCAR03.svg,North cardinal mark;South cardinal mark;West cardinal mark;East cardinal mark,reference_sources/aquamap_map_symbols/images/BOYCARBY1.png;reference_sources/aquamap_map_symbols/images/BOYCARYB1.png;reference_sources/aquamap_map_symbols/images/BOYCARYBY1.png;reference_sources/aquamap_map_symbols/images/BOYCARBYB1.png,"BOYCAR03 is cardinal buoy, south, simplified. It is used as a cardinal buoy used to indicate the safe side of danger. Required geometry: cardinal aid body/topmark geometry; verify quadrant/topmark orientation. Required colours: reference-defined.",cardinal aid body/topmark geometry; verify quadrant/topmark orientation,,,assets/svg/triad_generated/BOYCAR03.svg,,judge_pass_pending_final_approval,,,True,No semantic repair required before final style/scale QA; keep pending final approval.
opencpn-s52:BOYCAR04,BOYCAR04,"cardinal buoy, west, simplified",symbol,BOYCAR,CATCAM4,"SY(BOYCAR04);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",1,1,mOUTLWHCHYLW,out/opencpn_s52_reference/BOYCAR04__day.png,BOYCAR04;BOYCAR04,assets/svg/source_priority/s101_exact/BOYCAR04.svg;PortrayalCatalog/Symbols/BOYCAR04.svg,North cardinal mark;South cardinal mark;West cardinal mark;East cardinal mark,reference_sources/aquamap_map_symbols/images/BOYCARBY1.png;reference_sources/aquamap_map_symbols/images/BOYCARYB1.png;reference_sources/aquamap_map_symbols/images/BOYCARYBY1.png;reference_sources/aquamap_map_symbols/images/BOYCARBYB1.png,"BOYCAR04 is cardinal buoy, west, simplified. It is used as a cardinal buoy used to indicate the safe side of danger. Required geometry: cardinal aid body/topmark geometry; verify quadrant/topmark orientation. Required colours: reference-defined.",cardinal aid body/topmark geometry; verify quadrant/topmark orientation,,,assets/svg/triad_generated/BOYCAR04.svg,,judge_pass_pending_final_approval,,,True,No semantic repair required before final style/scale QA; keep pending final approval.
opencpn-s52:BOYCON01,BOYCON01,"conical buoy, general, full-chart",symbol,BOYCAR,BOYSHP1,"SY(BOYCON01);TE('%s','OBJNAM',2,1,2,'15110',-1,-1,CHBLK,21)",2,5,ADEPMDBCHBLKCCHRED;CCHBLK,out/opencpn_s52_reference/BOYCON01__day.png,BOYCON01;BOYCON01,assets/svg/source_priority/s101_exact/BOYCON01.svg;PortrayalCatalog/Symbols/BOYCON01.svg,,,"BOYCON01 is conical buoy, general, full-chart. It is used as a cardinal buoy used to indicate the safe side of danger. Required geometry: conical/nun buoy body. Required colours: red, black.",conical/nun buoy body,red;black,,assets/svg/triad_generated/BOYCON01.svg,,judge_pass_pending_final_approval,,,True,No repair required for this visual/semantic rerun; candidate may move only to judge_pass_pending_final_approval and must not be final-approved by this artifact.
